,cue,association,explanation,relation
1476,utilize,use,utilize has a similar meaning as use.,Synonym
1477,variable,equation,a variable is part of an equation.,PartOf
1478,variable,changeable,variable is another word for changeable.,Synonym
1479,vegetation,plants,vegetation includes many types of plants.,Category-Exemplar-Pairs
1480,visit,arrive,visit is the synonym of the arrive.,Synonym
1481,voice,loud,the voice from the man was too loud.,HasProperty
1483,voluntary,serviceman,voluntary is a synonym of serviceman,Synonym
1484,voodoo,magic,voodoo is a form of magic.,Category-Exemplar-Pairs
1485,voodoo,spiritual,voodoo is a form of spirituality more than a religion.,Category-Exemplar-Pairs
1486,wallet,pocket,most men keep a wallet in their pocket.,Location
1487,wallet,pocket,most men keep their wallet in their back pocket.,Location
1488,wallet,pocket,the best place to keep your wallet is in your pocket so it doesn't get lost.,Location
1491,weight,science,weight is the important part of the science,PartOf
1492,weight,load,load is also defined as the weight,Synonym
1493,wheel,round,the wheel was out of round.,HasProperty
1494,wheel,circular,a wheel is some kind of circular device that rotates.,HasProperty
1496,worse,good,the opposite end of the spectrum from worse is good.,Antonym
1497,wounds,cut,a large cut is a type of wound.,Category-Exemplar-Pairs
1498,writer,job,a writer is a type of job.,Category-Exemplar-Pairs
1499,yelling,screaming,yelling is a synonym for screaming.,Synonym
1500,yesterday,tomorrow,yesterday is the opposite of tomorrow.,Antonym
1501,young,old,both young and old are invited.,Antonym
1502,young,old,everyone is invited- from young to old.,Antonym
1503,young,old,the opposite of being young is being old.,Antonym
1504,adore,love,to adore a person is to love a person,Synonym
1505,adore,love,to adore something is to love it.,Synonym
1506,adore,love,"when you love something, you also adore it.",Synonym
1507,advantage,benefit,take advantage definitely get benefit,Result-In
1508,advantage,benefit,"when you have an advantage, you have more benefits than others.",Result-In
1509,bedroom,bed,bedrooms have a bed for you to sleep in.,Location
1510,bedroom,closet,he took his shirt from the closet in the bedroom,Location
1511,bedroom,dresser,you will usually find a dresser in a bedroom.,Location
1513,bicycle,wheels,bicycles usually have more than one wheel to operate,PartOf
1514,blender,blades,a blender has blades to help chop up things and mix them.,PartOf
1515,blender,blades,a blender usually has 4 moderately sharp blades,PartOf
1516,bullet,wound,a bullet creates a wound if it hits an animal or a person.,Result-In
1517,bullet,painful,getting shot with a bullet was painful.,Result-In
1518,camera,capture,the camera was able to capture the vibrant colors of her dress.,Action
1520,champagne,drunk,the champagne made the man drunk.,Result-In
1521,clock,hands,a clock has hands that show the hour and minute.,PartOf
1522,clock,hands,the clock has three hands.,PartOf
1523,football,sport,football is a sporting event.,Category-Exemplar-Pairs
1524,glass,window,i think of glass as typically being used for a window such as a glass window.,Function
1525,goose,beak,a goose usually has an orange beak.,PartOf
1526,goose,fly,the goose needed to fly south for the winter.,Action
1527,horse,gallop,the horse galloped beside the river.,Action
1528,horse,gallop,the horse gallops in the field.,Action
1529,jacket,winter,the man wore a winter jacket to stay warm,Common-Phrase
1530,jacket,winter,we should get some winter jacket at the store.,Common-Phrase
1531,piano,keys,a grand piano is made up of eighty-eight keys.,PartOf
1532,piano,keys,a piano has a lot of keys.,PartOf
1534,piano,music,i hear piano music in the evening.,Common-Phrase
1535,piano,music,i like to hear piano music.,Common-Phrase
1536,platypus,bill,a platypus is an animal that has a bill,PartOf
1538,platypus,swim,i saw a platypus swim in the water.,Action
1539,poison,deadly,poison can be deadly for humans.,Result-In
1540,poison,kill,the poison can kill the lion.,Action
1542,rabbit,hop,rabbits hop along everywhere they go.,Action
1543,rabbit,hop,rabbits hop around the yard.,Action
1547,skunk,stink,the skunk will stink up the place if it feels threatened.,Action
1548,stick,branch,sticks are made out of branches.,PartOf
1549,stick,wood,sticks are made out of wood.,Material-MadeOf
1550,stone,throw,i like to throw stones at a river.,Action
1551,stone,rock,stone and rock are synonyms.,Synonym
1554,table,plate,he put the plate on the dinner table.,Location
1555,table,plate,tables always have plates on them.,Location
1556,telephone,cord,the telephone cord was very long,Common-Phrase
1557,trousers,belt,the belt held up the trousers.,Function
1558,trousers,jeans,trousers also come in the form of jeans,Material-MadeOf
9,career,money,my career allows me to earn money to pay for life's essentials.,Function
144,saving,money,i wish i was paid enough to be saving money.,Action
23,cowgirl,boots,cowgirls are like to wear boots.,PartOf
24,cowgirl,boots,a cowgirl wears boots as part of her outfit.,HasProperty
29,dinner,food,the food served for dinner was amazing.,Emotion-Evaluation
57,forgive,forget,to forgive does not mean to forget.,Thematic
93,payment,money,money is an accepted form of payment in most places.,Function
99,reality,life,humans have to face the reality of life.,Action
112,salad,dressing,the secret to a great salad is the dressing.,Thematic
122,starting,first,starting is what needs to be done first before other steps of the process,Has-Prerequisite
125,utilize,advantage,the basketball coach has the advantage of utilizing a very solid line up.,Result-In
127,weeping,sad,if someone is weeping they are likely sad.,Emotion-Evaluation
